barcode,product_name,brand,category,net_quantity,packaging,labels_certifications,manufacturing_place,ingredients,nutriscore,nova_group,image_front_url,image_nutrition_url,image_ingredients_url,has_image,data_quality
8909081005251,Yippee Noodles,Sunfeast,Instant noodles,72.6 g,,Green Dot India,,,unknown,,https://images.openfoodfacts.org/images/products/890/908/100/5251/front_en.16.400.jpg,,,yes,5/8
8906010500498,balaji wafers tomato twist,,"Crisps, Salty snacks made from potato, Chip",,,,,"Potato (87%). Edible Vegetable Oil (Palmolein), Sugar, iodized Salt, Maltodextrin, Spices & Condiments (Chilli Powder, Cumin Powder, Clove Powder, Cinnamon), Dehydrated Vegetable Powder (Tomato (1%), Onion, Garlic), Acidity Regulator (INS 296, INS 330), Anticaking Agent (INS 551), Flavour Enhancer (INS 627, INS 631).",e,4,https://images.openfoodfacts.org/images/products/890/601/050/0498/front_en.14.400.jpg,,,yes,3/8
8901207900839,hajmola,Dabur,,120 Tablets,Jar,,,J 3,unknown,,https://images.openfoodfacts.org/images/products/890/120/790/0839/front_en.15.400.jpg,,,yes,5/8
8904004400250,Haldiram's Soya Sticks,Haldiram's,Snacks,200g,,Green Dot India,,"Tapioca Starch, Edible Vegetable oil (Palmolein, Cotton Seed, Corn, Sunflower, Rice Bran), Soya Flour (9%), Split Pulse Urad (Urad Dal) Flour, Mixed Spices (Refined Sugar, lodised Salt, Maltodextrin, Black Salt, Red Chilli Powder, Dried Mango Powder, Onion Powder, Glucose Powder, Preservative (INS 262 i), Coriander Powder, Cumin Powder, Fennel, Whey Powder, Ginger Powder, Garlic Powder, Clove Powder, Yeast Extract, Pipal, Black Pepper, Acidity Regulator (INS 296), Flavour Enhancer (INS 627, INS 631), Turmeric Powder, Anticaking Agent (INS 551), Bay Leaves, Acidity Regulator (INS 330), Colour (INS 160c), Nutmeg, Capsicum Powder, Cinnamon & Asafoetida), Hydrogenated Vegetable Oil (Vanaspati), Natural Flavouring Substance And Nature Identical Flavouring Substance Allergen: Contains Soy & Milk May Contains Peanut, Tree Nuts, Wheat, Mustard Seed & Sesame Seed",e,4,https://images.openfoodfacts.org/images/products/890/400/440/0250/front_en.7.400.jpg,,,yes,6/8
8901071211307,Hershey's syrup,Hershey's,"Syrups, Chocolate syrup",200g,,,,,d,,https://images.openfoodfacts.org/images/products/890/107/121/1307/front_en.10.400.jpg,,,yes,4/8
8906007280242,refined sunflower oil,fortune,Sunflower oils,1 l,plastic,Green Dot India,India,"Refined Sunflower Oil. Permitted Antioxidant TBHQ (E-319), Vitamin A and Vitamin D.",c,2,https://images.openfoodfacts.org/images/products/890/600/728/0242/front_en.18.400.jpg,,,yes,8/8
8901725007508,Bingo! Potato Chips Chilli Sprinkled,ITC,Potato crisps,90g,,Green Dot India,,"POTATO (60.0%), REFINED PALMOLEIN, SEASONING (IODIZED SALT, RED CHILLI POWDER (1.1%), MALTODEXTRIN, #SPICES AND CONDIMENTS, ONION POWDER, REFINED WHEAT FLOUR (MAIDA), NATURE IDENTICAL FLAVOURING SUBSTANCES, BLACK SALT, MILK SOLIDS, NATURAL FLAVOURS AND NATURAL FLAVOURING SUBSTANCES, SUGAR, TOMATO POWDER, HYDROLYZED VEGETABLE PROTEIN, GARLIC POWDER AND FLAVOUR ENHANCER (INS 508)} AND IODIZED SALT. #USED AS FLAVOURING AGENTS. CONTAINS SOY, MILK, WHEAT",e,4,https://images.openfoodfacts.org/images/products/890/172/500/7508/front_en.3.400.jpg,,,yes,6/8
8901764052910,Limca,Pepsi,"Sodas, Carbonated fruit soft drink",100 ml,,,,"CARBONATED WATER, SUGAR ACIDITY REGULATORS (330, 33W STABILIZERS (414,471), PRESERVATIVE (211) FLAVOURS (NATURAL, NATURE-IDENTICAL & ARTIFICIAL (LEMON) FLAVOURING SUBSTANCES).",e,4,https://images.openfoodfacts.org/images/products/890/176/405/2910/front_en.24.400.jpg,,,yes,5/8
3948764042270,Thumbs Up 750ml pet,Thumps up,Sodas,750ml,,,,,e,,https://images.openfoodfacts.org/images/products/394/876/404/2270/front_en.21.400.jpg,,,yes,4/8
8901030831706,Mixed Fruit Jam,"Hindustan Unilever Limited, Kissan",Mixed fruit jams,500g,,,,"SUGAR, MIXED FRUIT PULP BLEND - 60% (PAPAYA PULP, PEAR PULP, APPLE JUICE, BANANA PULP PINEAPPLE JUICE, ORANGE JUICE, MANGO PULP, GRAPE JUICE), ACIDITY REGULATOR-E330, THICKENER-E440, 10DISED SALT, VITAMINS & MINERAL, PRESERVATIVE-E202, NATURAL FLAVOURING SUBSTANCES, FOOD COLOUR-E122 NUMBER OF SERVES PER PACK: APPROX. 25, PER SERVE: 20 g (1 Tbsp)",d,4,https://images.openfoodfacts.org/images/products/890/103/083/1706/front_en.14.400.jpg,,,yes,5/8
